Category,Access_No,Title,Authors,Asset_Code,Department,Subject,Edition,Date_Year,Call_No,Publisher,Place,ISBN,Price,Bill_Date,Vendor,Pages
Books,1,Principles of economics,"Gregory, Mankiw N.",RVUN21LB0001,School of Economics,Economics,7th Ed,2015,330 GRE,Cengage learning india pvt. ltd,New Delhi,978-9386668035,899,10/25/2021 0:00,Book Paradise,"xxxii, 847"
Books,2,Principles of economics,"Gregory, Mankiw N.",RVUN21LB0002,School of Economics,Economics,7th Ed,2015,331 GRE,Cengage learning india pvt. ltd,New Delhi,978-9386668035,899,10/25/2021 0:00,Book Paradise,"xxxii, 847"
Books,3,Principles of economics,"Gregory, Mankiw N.",RVUN21LB0003,School of Economics,Economics,7th Ed,2015,330 GRE,Cengage learning india pvt. ltd,New Delhi,978-9386668035,899,10/29/2021 0:00,Book Paradise,"xxxii, 847"
Books,4,Principles of economics,"Gregory, Mankiw N.",RVUN21LB0004,School of Economics,Economics,7th Ed,2015,330 GRE,Cengage learning india pvt. ltd,New Delhi,978-9386668035,899,10/29/2021 0:00,Book Paradise,"xxxii, 847"
Books,5,Principles of economics,"Gregory, Mankiw N.",RVUN21LB0005,School of Economics,Economics,7th Ed,2015,330 GRE,Cengage learning india pvt. ltd,New Delhi,978-9386668035,899,10/29/2021 0:00,Book Paradise,"xxxii, 847"
Books,6,Principles of economics,"Gregory, Mankiw N.",RVUN21LB0006,School of Economics,Economics,7th Ed,2015,330 GRE,Cengage learning india pvt. ltd,New Delhi,978-9386668035,899,10/29/2021 0:00,Book Paradise,"xxxii, 847"
Books,7,Principles of economics,"Gregory, Mankiw N.",RVUN21LB0007,School of Economics,Economics,7th Ed,2015,330 GRE,Cengage learning india pvt. ltd,New Delhi,978-9386668035,899,10/29/2021 0:00,Book Paradise,"xxxii, 847"
Books,8,Principles of economics,"Gregory, Mankiw N.",RVUN21LB0008,School of Economics,Economics,7th Ed,2015,330 GRE,Cengage learning india pvt. ltd,New Delhi,978-9386668035,899,10/29/2021 0:00,Book Paradise,"xxxii, 847"
Books,9,Microeconomics in context,"Goodwin, Neva R.",RVUN21LB0009,School of Economics,Economics,2nd Ed,2008,339 GOO,PHI Learning Private Limited,New Delhi,9788120337473,350,10/29/2021 0:00,Book Paradise,"xxxiii,522"
Books,10,Microeconomics in context,"Goodwin, Neva R.",RVUN21LB0010,School of Economics,Economics,2nd Ed,2008,339 GOO,PHI Learning Private Limited,New Delhi,9788120337473,350,10/29/2021 0:00,Book Paradise,"xxxiii,523"
